                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0422,                0.71904,                 1.3309,                0.66605,                0.55051,                0.52548,                0.34945,                 1.3919,                 1.9207,                 1.5968,             0.00036964,             0.00036964,             0.00036964
                      2,                0.99834,                0.69562,                 1.2985,                0.72163,                0.50835,                0.51682,                0.34319,                 1.4042,                 2.0475,                 1.6144,             0.00070335,             0.00070335,             0.00070335
                      3,                 1.0861,                0.78575,                 1.3626,                0.59382,                0.48515,                0.45722,                 0.2988,                 1.3843,                 2.0984,                 1.6016,              0.0010004,              0.0010004,              0.0010004
                      4,                 1.0949,                0.80414,                  1.368,                0.67002,                0.53969,                0.50268,                0.31517,                 1.3814,                 2.0213,                 1.5761,             0.00094602,             0.00094602,             0.00094602
                      5,                 1.0967,                0.79938,                  1.362,                0.56276,                0.48724,                0.47285,                0.30751,                 1.4113,                 2.2988,                 1.6218,             0.00094602,             0.00094602,             0.00094602
                      6,                 1.0812,                0.77657,                 1.3568,                0.76828,                0.52574,                0.48676,                0.32453,                 1.3724,                 2.1193,                 1.5797,             0.00089102,             0.00089102,             0.00089102
                      7,                 1.0646,                0.75677,                 1.3419,                0.84053,                 0.4942,                  0.482,                0.31376,                 1.4441,                 2.1524,                 1.5963,             0.00083603,             0.00083603,             0.00083603
                      8,                 1.0508,                0.74317,                 1.3316,                 0.8381,                0.50146,                0.47536,                0.31462,                  1.409,                 2.2323,                 1.5711,             0.00078103,             0.00078103,             0.00078103
                      9,                 1.0434,                0.72576,                 1.3258,                0.81947,                 0.5183,                0.51916,                0.34771,                 1.4006,                 2.1126,                 1.5954,             0.00072604,             0.00072604,             0.00072604
                     10,                 1.0226,                0.71564,                 1.3218,                0.84665,                0.52226,                0.49524,                0.34373,                 1.3867,                  2.206,                 1.5675,             0.00067104,             0.00067104,             0.00067104
                     11,                0.99073,                0.57963,                 1.3291,                0.65163,                0.48758,                0.53826,                0.36805,                 1.3598,                 2.0631,                 1.5814,             0.00061605,             0.00061605,             0.00061605
                     12,                0.96993,                0.55133,                 1.3029,                0.70792,                0.50367,                0.57782,                0.38929,                 1.3616,                 2.0467,                  1.551,             0.00056105,             0.00056105,             0.00056105
                     13,                0.95023,                0.54002,                 1.2891,                0.65728,                 0.5002,                0.52818,                0.35739,                 1.3768,                 2.1187,                  1.553,             0.00050606,             0.00050606,             0.00050606
                     14,                0.92989,                0.51343,                 1.2653,                0.66745,                0.51179,                0.56352,                0.38645,                 1.3584,                 2.2741,                 1.5468,             0.00045107,             0.00045107,             0.00045107
                     15,                0.91226,                0.49785,                 1.2566,                0.68463,                0.50908,                0.56772,                 0.3858,                 1.3473,                 2.1424,                 1.5343,             0.00039607,             0.00039607,             0.00039607
                     16,                0.88693,                0.48151,                 1.2432,                0.66302,                0.52425,                0.56346,                0.38669,                 1.3659,                 2.2303,                  1.567,             0.00034108,             0.00034108,             0.00034108
                     17,                0.87025,                0.46247,                 1.2264,                0.64896,                0.50757,                0.53645,                0.36947,                 1.3589,                 2.2087,                 1.5753,             0.00028608,             0.00028608,             0.00028608
                     18,                0.84368,                0.44507,                 1.2153,                0.63923,                0.52227,                0.56491,                0.39058,                  1.343,                 2.1998,                 1.5637,             0.00023109,             0.00023109,             0.00023109
                     19,                0.83145,                0.43038,                  1.197,                0.85972,                0.48019,                 0.5671,                 0.3963,                 1.3413,                 2.3165,                 1.5472,             0.00017609,             0.00017609,             0.00017609
                     20,                0.81426,                 0.4211,                 1.1855,                0.85239,                0.50164,                0.55596,                0.39148,                 1.3485,                 2.3145,                 1.5573,              0.0001211,              0.0001211,              0.0001211
